num,KOHEZIJSKA / STATISTIČNA REGIJA,SPOL,LETO,MERITVE
29667,Koroška,Spol - SKUPAJ,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
30351,Koroška,Spol - SKUPAJ,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
30887,Koroška,Spol - SKUPAJ,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
29606,Koroška,Spol - SKUPAJ,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
28189,Koroška,Spol - SKUPAJ,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
28057,Koroška,Spol - SKUPAJ,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
27978,Koroška,Spol - SKUPAJ,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
27044,Koroška,Spol - SKUPAJ,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
27088,Koroška,Spol - SKUPAJ,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
27048,Koroška,Spol - SKUPAJ,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
27014,Koroška,Spol - SKUPAJ,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
27666,Koroška,Spol - SKUPAJ,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
28234,Koroška,Spol - SKUPAJ,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
28529,Koroška,Spol - SKUPAJ,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
28627,Koroška,Spol - SKUPAJ,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Koroška,Moški,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Koroška,Moški,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Koroška,Moški,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Koroška,Moški,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Koroška,Moški,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
16023,Koroška,Moški,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
16057,Koroška,Moški,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
15991,Koroška,Moški,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
15456,Koroška,Moški,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
15487,Koroška,Moški,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
15324,Koroška,Moški,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
15073,Koroška,Moški,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
15392,Koroška,Moški,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
15618,Koroška,Moški,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
15802,Koroška,Moški,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
15759,Koroška,Moški,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Koroška,Ženske,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Koroška,Ženske,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Koroška,Ženske,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Koroška,Ženske,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Koroška,Ženske,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
12166,Koroška,Ženske,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
12000,Koroška,Ženske,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
11987,Koroška,Ženske,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
11589,Koroška,Ženske,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
11601,Koroška,Ženske,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
11724,Koroška,Ženske,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
11941,Koroška,Ženske,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
12275,Koroška,Ženske,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
12616,Koroška,Ženske,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
12727,Koroška,Ženske,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
12869,Koroška,Ženske,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
104434,Savinjska,Spol - SKUPAJ,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
106136,Savinjska,Spol - SKUPAJ,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
110340,Savinjska,Spol - SKUPAJ,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
114089,Savinjska,Spol - SKUPAJ,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
110308,Savinjska,Spol - SKUPAJ,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
106677,Savinjska,Spol - SKUPAJ,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
105746,Savinjska,Spol - SKUPAJ,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
104428,Savinjska,Spol - SKUPAJ,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
102554,Savinjska,Spol - SKUPAJ,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
102594,Savinjska,Spol - SKUPAJ,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
100482,Savinjska,Spol - SKUPAJ,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
101920,Savinjska,Spol - SKUPAJ,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
105913,Savinjska,Spol - SKUPAJ,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
109398,Savinjska,Spol - SKUPAJ,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
112302,Savinjska,Spol - SKUPAJ,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
111627,Savinjska,Spol - SKUPAJ,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Savinjska,Moški,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Savinjska,Moški,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Savinjska,Moški,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Savinjska,Moški,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Savinjska,Moški,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
